Tid ;FT0010 Flow : (M³/t);;;
19-04-2018 06:20;65.8;;;
19-04-2018 06:20;65.8;;;
19-04-2018 06:20;65.8;;;
19-04-2018 06:20;65.8;;;
19-04-2018 06:20;65.8;;;
19-04-2018 06:20;65.8;;;
19-04-2018 06:20;65.8;;;
19-04-2018 06:20;65.8;;;
19-04-2018 06:21;65.8;;;
19-04-2018 06:21;65.8;;;
19-04-2018 06:21;65.8;;;
19-04-2018 06:21;65.8;;;
19-04-2018 06:21;65.8;;;
19-04-2018 06:21;65.8;;;
19-04-2018 06:21;65.8;;;
19-04-2018 06:21;65.8;;;
19-04-2018 06:21;65.8;;;
19-04-2018 06:21;65.8;;;
19-04-2018 06:21;65.8;;;
19-04-2018 06:21;65.8;;;
19-04-2018 06:22;65.8;;;
19-04-2018 06:22;65.8;;;
19-04-2018 06:22;65.8;;;
19-04-2018 06:22;65.8;;;
19-04-2018 06:22;65.8;;;
19-04-2018 06:22;65.8;;;
19-04-2018 06:22;65.8;;;
19-04-2018 06:22;65.8;;;
19-04-2018 06:22;65.8;;;
19-04-2018 06:22;65.8;;;
19-04-2018 06:22;65.8;;;
19-04-2018 06:22;65.8;;;
19-04-2018 06:23;65.8;;;
19-04-2018 06:23;65.8;;;
19-04-2018 06:23;65.8;;;
19-04-2018 06:23;65.8;;;
19-04-2018 06:23;65.8;;;
19-04-2018 06:23;65.8;;;
19-04-2018 06:23;65.8;;;
19-04-2018 06:23;65.8;;;
19-04-2018 06:23;65.8;;;
19-04-2018 06:23;65.8;;;
19-04-2018 06:23;65.8;;;
19-04-2018 06:23;65.8;;;
19-04-2018 06:24;65.8;;;
19-04-2018 06:24;65.8;;;
19-04-2018 06:24;65.8;;;
19-04-2018 06:24;65.8;;;
19-04-2018 06:24;65.8;;;
19-04-2018 06:24;65.8;;;
19-04-2018 06:24;65.8;;;
19-04-2018 06:24;65.8;;;
19-04-2018 06:24;65.8;;;
19-04-2018 06:24;65.8;;;
19-04-2018 06:24;65.8;;;
19-04-2018 06:24;65.8;;;
19-04-2018 06:25;65.8;;;
19-04-2018 06:25;66;;;
19-04-2018 06:25;66;;;
19-04-2018 06:25;66;;;
19-04-2018 06:25;66;;;
19-04-2018 06:25;66;;;
19-04-2018 06:25;66;;;
19-04-2018 06:25;66;;;
19-04-2018 06:25;66;;;
19-04-2018 06:25;66;;;
19-04-2018 06:25;66;;;
19-04-2018 06:25;66;;;
19-04-2018 06:26;66;;;
19-04-2018 06:26;66;;;
19-04-2018 06:26;66;;;
19-04-2018 06:26;66;;;
19-04-2018 06:26;66;;;
19-04-2018 06:26;66;;;
19-04-2018 06:26;66;;;
19-04-2018 06:26;66;;;
19-04-2018 06:26;66;;;
19-04-2018 06:26;66;;;
19-04-2018 06:26;66;;;
19-04-2018 06:26;66;;;
19-04-2018 06:27;66;;;
19-04-2018 06:27;66;;;
19-04-2018 06:27;66;;;
19-04-2018 06:27;66;;;
19-04-2018 06:27;66;;;
19-04-2018 06:27;66;;;
19-04-2018 06:27;66;;;
19-04-2018 06:27;66;;;
19-04-2018 06:27;66;;;
19-04-2018 06:27;66;;;
19-04-2018 06:27;66;;;
19-04-2018 06:27;66;;;
19-04-2018 06:28;66;;;
19-04-2018 06:28;66;;;
19-04-2018 06:28;66;;;
19-04-2018 06:28;66;;;
19-04-2018 06:28;66;;;
19-04-2018 06:28;66;;;
19-04-2018 06:28;66;;;
19-04-2018 06:28;66;;;
19-04-2018 06:28;66;;;
19-04-2018 06:28;66;;;
19-04-2018 06:28;66;;;
19-04-2018 06:28;66;;;
19-04-2018 06:29;66;;;
19-04-2018 06:29;66;;;
19-04-2018 06:29;66;;;
19-04-2018 06:29;66;;;
19-04-2018 06:29;66;;;
19-04-2018 06:29;66;;;
19-04-2018 06:29;66;;;
19-04-2018 06:29;66;;;
19-04-2018 06:29;66;;;
19-04-2018 06:29;66;;;
19-04-2018 06:29;66;;;
19-04-2018 06:29;66;;;
19-04-2018 06:30;66;;;
19-04-2018 06:30;66;;;
19-04-2018 06:30;66;;;
19-04-2018 06:30;66;;;
19-04-2018 06:30;66;;;
19-04-2018 06:30;66;;;
19-04-2018 06:30;66;;;
19-04-2018 06:30;66;;;
19-04-2018 06:30;66;;;
19-04-2018 06:30;66;;;
19-04-2018 06:30;66;;;
19-04-2018 06:30;66;;;
19-04-2018 06:31;66;;;
19-04-2018 06:31;66;;;
19-04-2018 06:31;66;;;
19-04-2018 06:31;66;;;
19-04-2018 06:31;66;;;
19-04-2018 06:31;66;;;
19-04-2018 06:31;66;;;
19-04-2018 06:31;66;;;
19-04-2018 06:31;66;;;
19-04-2018 06:31;66;;;
19-04-2018 06:31;66;;;
19-04-2018 06:31;66;;;
19-04-2018 06:32;66;;;
19-04-2018 06:32;66;;;
19-04-2018 06:32;66;;;
19-04-2018 06:32;66;;;
19-04-2018 06:32;66;;;
19-04-2018 06:32;66;;;
19-04-2018 06:32;66;;;
19-04-2018 06:32;66;;;
19-04-2018 06:32;66;;;
19-04-2018 06:32;66;;;
19-04-2018 06:32;66;;;
19-04-2018 06:32;66;;;
19-04-2018 06:33;66;;;
19-04-2018 06:33;66;;;
19-04-2018 06:33;66;;;
19-04-2018 06:33;66;;;
19-04-2018 06:33;66;;;
19-04-2018 06:33;66;;;
19-04-2018 06:33;66;;;
19-04-2018 06:33;66;;;
19-04-2018 06:33;66;;;
19-04-2018 06:33;66;;;
19-04-2018 06:33;66;;;
19-04-2018 06:33;66;;;
19-04-2018 06:34;66;;;
19-04-2018 06:34;66;;;
19-04-2018 06:34;66;;;
19-04-2018 06:34;66;;;
19-04-2018 06:34;66;;;
19-04-2018 06:34;66;;;
19-04-2018 06:34;66;;;
19-04-2018 06:34;66;;;
19-04-2018 06:34;66;;;
19-04-2018 06:34;66;;;
19-04-2018 06:34;66;;;
19-04-2018 06:34;66;;;
19-04-2018 06:35;66;;;
19-04-2018 06:35;66;;;
19-04-2018 06:35;66;;;
19-04-2018 06:35;66;;;
19-04-2018 06:35;66;;;
19-04-2018 06:35;66;;;
19-04-2018 06:35;66;;;
19-04-2018 06:35;66;;;
19-04-2018 06:35;66;;;
19-04-2018 06:35;66;;;
19-04-2018 06:35;66;;;
19-04-2018 06:35;66;;;
19-04-2018 06:36;66;;;
19-04-2018 06:36;66;;;
19-04-2018 06:36;66;;;
19-04-2018 06:36;66;;;
19-04-2018 06:36;66;;;
19-04-2018 06:36;66;;;
19-04-2018 06:36;66;;;
19-04-2018 06:36;66;;;
19-04-2018 06:36;66;;;
19-04-2018 06:36;66;;;
19-04-2018 06:36;66;;;
19-04-2018 06:36;66;;;
19-04-2018 06:37;66;;;
19-04-2018 06:37;66;;;
19-04-2018 06:37;66;;;
19-04-2018 06:37;66;;;
19-04-2018 06:37;66;;;
19-04-2018 06:37;66;;;
19-04-2018 06:37;66;;;
19-04-2018 06:37;66;;;
19-04-2018 06:37;66;;;
19-04-2018 06:37;66;;;
19-04-2018 06:37;66;;;
19-04-2018 06:37;66;;;
19-04-2018 06:38;66;;;
19-04-2018 06:38;66;;;
19-04-2018 06:38;66;;;
19-04-2018 06:38;66;;;
19-04-2018 06:38;66;;;
19-04-2018 06:38;66;;;
19-04-2018 06:38;66;;;
19-04-2018 06:38;66;;;
19-04-2018 06:38;66;;;
19-04-2018 06:38;66;;;
19-04-2018 06:38;66;;;
19-04-2018 06:38;66;;;
19-04-2018 06:39;66;;;
19-04-2018 06:39;66;;;
19-04-2018 06:39;66;;;
19-04-2018 06:39;66;;;
19-04-2018 06:39;66;;;
19-04-2018 06:39;66;;;
19-04-2018 06:39;66;;;
19-04-2018 06:39;66;;;
19-04-2018 06:39;66;;;
19-04-2018 06:39;66;;;
19-04-2018 06:39;66;;;
19-04-2018 06:39;66;;;
19-04-2018 06:40;66;;;
19-04-2018 06:40;66;;;
19-04-2018 06:40;66;;;
19-04-2018 06:40;66;;;
19-04-2018 06:40;66;;;
19-04-2018 06:40;66;;;
19-04-2018 06:40;66;;;
19-04-2018 06:40;66;;;
19-04-2018 06:40;66;;;
19-04-2018 06:40;66;;;
19-04-2018 06:40;66;;;
19-04-2018 06:40;66;;;
19-04-2018 06:41;66;;;
19-04-2018 06:41;66;;;
19-04-2018 06:41;66;;;
19-04-2018 06:41;66;;;
19-04-2018 06:41;66;;;
19-04-2018 06:41;66;;;
19-04-2018 06:41;66;;;
19-04-2018 06:41;66;;;
